YEAR,RANKING,COMPANY,CUSTOMER SATISFACTION,EMPLOYEE ENGAGEMENT AND DEVELOPMENT,INNOVATION,SOCIAL RESPONSIBILITY,FINANCIAL STRENGTH,EFFECTIVENESS,gvkey,new_gvkey
2019,188,Owens Corning,56.7,54,47.1,66.4,45.5,55.6,8214,
2020,99,Owens Corning Inc,64.5,62.7,48.2,69.9,44.3,62,8214,
2021,54,Owens Corning Inc,67.6,63.7,53,67.7,50.2,66.8,8214,
2021,535,O-I Glass Inc,46.7,48.1,49.3,44.8,47,45.7,8215,
2019,196,PNC Financial Services Group Inc,58,48.3,44,65.1,52.7,55.1,8245,
2021,246,PNC Finl Services Group,56.9,50.7,48.3,57,50.6,54.4,8245,
2017,140,PPG Industries,52.4,47.1,63.8,56.2,54.9,57.2,8247,
2018,181,PPG Industries,54.6,43.3,59.9,59.6,51,56.1,8247,
2019,246,PPG Industries Inc,45.7,42.6,63.7,59.2,46.9,53.2,8247,
2020,256,PPG Industries Inc,36.2,43.6,67.4,60.6,48.2,53.7,8247,
2021,255,PPG Industries Inc,41.4,43.3,63.3,60.5,50.4,54.1,8247,
2017,496,PACCAR,52.6,39.2,48,42.3,49.4,43.6,8253,
2018,440,PACCAR,56.3,40.5,52.3,42,49.6,46.8,8253,
2019,407,Paccar Inc,52.4,42.3,48.5,43.1,55.5,47.1,8253,
2020,396,PACCAR Inc,59.5,39.6,51,48.5,51.6,49.8,8253,
2021,484,PACCAR Inc,55.6,40.9,46.6,48.7,49,47.1,8253,
2017,71,Sempra Energy,53.7,74,48.7,63.7,49.3,62.4,8272,
2018,309,Sempra,45.2,58.1,43.9,62.4,42.2,51,8272,
2019,218,Sempra Energy,36.4,65.7,43.7,66,47.1,53.9,8272,
2020,272,Sempra Energy,41.4,61.9,41.8,63.5,52.1,53.3,8272,
2021,183,Sempra Energy,40.6,64.7,52.4,64.3,48.9,57.4,8272,
2017,442, Parker Hannifin ,45.4,43,45,52.8,50.5,45.9,8358,
2018,445,Parker-Hannifin,50,43,44.1,51,50.9,46.7,8358,
2019,445,Parker-Hannifin Corp,38.2,45.7,45.7,51.9,51.4,45.7,8358,
2020,449,Parker-Hannifin Corp,43.6,47.8,48.6,53.2,50.7,48.5,8358,
2021,481,Parker-Hannifin Corp,46.8,46.9,43.9,52.8,50.7,47.2,8358,
2017,230,Paychex,50.4,48.9,55.8,41.3,66.2,53.1,8402,
2018,328,Paychex,42.5,51.4,53.4,39.2,65,50.3,8402,
2019,344,Paychex Inc,39.2,53.6,48.5,41.5,62,49.2,8402,
2020,520,Paychex Inc,33.8,51.6,43.8,48.4,61.7,46.5,8402,
2021,636,Paychex Inc,29.6,49.9,46,47.2,58.2,43.3,8402,
2019,434,American Financial Group Inc,49.1,57.9,43.7,39.4,48.5,46,8431,
2017,488, J. C. Penney ,60.2,37.1,46.7,51.9,35.9,44,8445,
2018,516,J.C. Penney,56.3,38.5,48,55.4,34,44.8,8445,
2019,558,J C Penney Company Inc,49.8,37.8,48.3,52.1,34.8,41.4,8445,
2017,376,PPL,45.8,58,41.8,49.5,49.3,48.2,8455,
2018,502,PPL,44.8,46.7,42,54.3,45.3,45.2,8455,
2019,522,PPL Corp,39.7,38.6,42.7,56.5,46.4,42.8,8455,
2020,655,PPL Corp,43.2,32.7,43.3,56.4,49.9,43.2,8455,
2021,575,PPL Corp,43.3,36.2,51,54.6,44,44.8,8455,
2017,468,Pentair,56.2,38.4,49.9,43.7,47.2,44.8,8463,
2018,346,Pentair,63,41,49.3,48.9,47.8,49.6,8463,
2019,390,Pentair PLC,54.6,42.1,48,50.2,49.1,47.6,8463,
2020,281,Pentair PLC,64.1,44.4,46.4,55,51.6,53,8463,
2021,219,Pentair PLC,66.2,47.6,47.8,56,50.9,55.7,8463,
2017,28,PepsiCo,67.1,53.5,63.4,67.1,63.7,69.7,8479,
2018,11,PepsiCo,69.8,53.4,82.2,68.7,64.1,77.4,8479,
2019,12,PepsiCo Inc,66,55.3,81.7,69.8,67.2,77.3,8479,
2020,15,PepsiCo Inc,67.8,55.4,75.6,66.8,62.6,74.1,8479,
2021,11,PepsiCo Inc,68,58,77,70.6,63.6,77.4,8479,
2017,57,Pfizer,55.2,59.8,62.5,61.7,57.3,64.2,8530,
2018,32,Pfizer,60.3,59.6,62.6,66.4,67.7,70.5,8530,
2019,39,Pfizer Inc,59.5,59.6,65.4,60,62.9,67.3,8530,
2020,58,Pfizer Inc,52.2,60.2,70,58.8,61,66.2,8530,
2021,27,Pfizer Inc,62.5,62.6,68.9,61.9,59.9,70.3,8530,
2017,236,Exelon,35.3,64.7,44.7,63.6,48.7,52.9,8539,
2018,196,Exelon,42.8,59.9,50.6,62.5,49.8,55.4,8539,
2019,133,Exelon Corp,41.7,62.1,57.2,64.3,48.8,58.4,8539,
2020,170,Exelon Corp,42.2,62.1,53.7,62.5,53.2,57.7,8539,
2021,173,Exelon Corp,44.4,64.8,50.7,63.7,49.3,57.8,8539,
2017,33,Altria Group,48.3,62,54,56.9,90.6,68.7,8543,
2018,69,Altria,49.2,59.9,58.1,57.7,69.2,63.7,8543,
2019,33,Altria Group Inc,53.2,56.5,67.7,59.8,71.5,68.4,8543,
2020,37,Altria Group Inc,47.9,51,81.4,62.2,67.3,69.3,8543,
2021,71,Altria Group Inc,47.5,59.6,66.4,62.1,63,65,8543,
2017,320,ConocoPhillips,45.5,57.3,51,62.6,32.4,50.1,8549,
2018,246,ConocoPhillips,42.2,58.3,49.3,62.3,46.9,53.4,8549,
2019,102,ConocoPhillips,38,62.6,48.8,65.9,65,60.8,8549,
2020,185,ConocoPhillips,43.4,60.9,47.7,68.5,50.9,57,8549,
2021,260,ConocoPhillips,57.3,54.2,45.8,62,38.9,54,8549,
2017,157,PVH,59.7,57.2,47.3,59.1,46.7,56.1,8551,
2018,152,PVH,62.8,59.5,47.6,58.8,45.8,57.1,8551,
2019,142,PVH Corp,56.8,65,50,59.2,46.8,57.8,8551,
2020,123,PVH Corp,67.4,63,47.6,64.9,41.9,60.2,8551,
2021,148,PVH Corp,66.6,56.6,54.2,57.5,42,59.3,8551,
2017,86,Pitney Bowes,62.3,48.1,60,59.4,56.6,60.9,8606,
2018,164,Pitney Bowes,59.2,39.5,59.7,59.3,53.3,56.8,8606,
2020,185,Pitney Bowes Inc,67.8,45.4,54.6,63.2,41,57,8606,
2021,131,Pitney Bowes Inc,72.8,47.2,51.6,61.3,45.8,59.7,8606,
2017,6,Procter &amp; Gamble,61.9,64.4,75.2,65.4,80.2,79.5,8762,
2018,9,Procter &amp; Gamble,70.4,66.6,72.5,64.4,73.2,79.3,8762,
2019,15,Procter &amp; Gamble Co,72.7,66,72.6,61.2,65.2,75.6,8762,
2020,8,Procter &amp; Gamble,75.1,65,84.3,64.4,72.8,83.5,8762,
2021,9,Procter &amp; Gamble,70.4,66.1,78.1,62,73.3,79.7,8762,
2017,466, Public Service Enterprise Group ,32.4,57.7,45.3,52,44.7,44.9,8810,
2018,389,Public Service Enterprise Group,41.1,53.7,44.2,57.2,46.6,48.3,8810,
2019,316,Public Service Enterprise Group Inc,39.1,58,45.3,59.8,45.4,50.1,8810,
2020,304, Public Service Enterprise Grp ,46.1,56.2,44.3,59.6,50.5,52.1,8810,
2021,240, Public Service Enterprise Grp ,47.6,63.9,44.6,61.1,46,54.7,8810,
2017,510,Pulte Homes,51.5,46.2,42.4,38.6,50.6,42.9,8823,
2018,414,PulteGroup,54.6,54.5,44.8,40.1,50.9,47.6,8823,
2019,454,PulteGroup Inc,40.6,51.4,43.3,43.5,54.1,45.2,8823,
2020,375,Pulte Group Inc,56.8,56,43.2,41.9,57.4,50.2,8823,
2021,430,Pulte Group Inc,51.7,55.7,43.3,43.2,56.9,48.7,8823,
2017,474, Raymond James Financial ,41.2,58.2,43.4,42.6,47.4,44.5,8898,
2018,453,Raymond James Financial,48.1,58.2,43.7,42.4,47.7,46.5,8898,
2019,346,Raymond James Financial Inc,56.5,55.9,43.6,43.6,50.7,49.1,8898,
2020,452, Raymond James Financial Inc ,55,53.5,44.3,45.6,49,48.4,8898,
2021,570, Raymond James Financial Inc ,47.5,52.7,46.1,41.2,48.3,45,8898,
2018,574,RPM International,55.4,40.8,46.3,38.4,48.2,43,8902,
2019,553,RPM International Inc,45.4,47.8,46.4,38.2,44.9,41.5,8902,
2020,668, RPM International Inc. ,54.1,40.9,44.3,39.2,50,42.8,8902,
2021,733,RPM International Inc,55,41.4,42.5,34,49.5,40.3,8902,
2017,84,Raytheon,56.9,54.9,58.1,61.1,55.2,61,8972,
2018,79,Raytheon,61.7,57.7,57.1,59.2,55.9,62.5,8972,
2019,119,Raytheon Co,47.6,54.8,60.5,60.8,55.2,59.5,8972,
2018,513,Regal Beloit,57.3,33.3,50.7,48.3,43.5,44.9,9016,
2019,480,Regal Beloit Corp,48.7,35.1,47.8,52.6,46.9,44.3,9016,
2020,499,Regal Beloit Corp,52.1,36.6,48.2,54.5,48.5,47.2,9016,
2017,632,AutoNation,48.3,36,45.5,37.3,46.4,38,9063,
2018,591,AutoNation,51.4,36.9,47.1,44.2,45.6,42.4,9063,
2019,533,AutoNation Inc,52,40,46.7,44,44,42.3,9063,
2020,672,AutoNation Inc,52.3,38.5,43.8,43.5,49.1,42.7,9063,
2021,721,AutoNation Inc,48,38.4,43.6,40.6,52.8,40.9,9063,
2017,121,Thomson Reuters,62.5,51.8,52.1,60.2,52,58.6,9098,
2017,632,Rite Aid,46,33.8,45.5,42.3,44.8,38,9155,
2018,724,Rite Aid,46.4,34,42.1,43.6,37.3,35.9,9155,
2019,625,Rite Aid Corp,48.8,33.1,44.7,41,34.7,34.9,9155,
2020,794,Rite Aid Corp,48.6,31.5,43.2,44.8,43,38.4,9155,
2017,69, Rockwell Automation ,62.3,58.8,50.8,63.4,56.2,62.7,9203,
2018,61,Rockwell Automation,66.4,56.6,51.6,61.8,62.7,64.6,9203,
2019,98,Rockwell Automation Inc,44.5,61.8,52,61.5,63.3,61,9203,
2020,66, Rockwell Automation Inc ,65.1,58.8,58.1,62.2,56.5,65,9203,
2021,73, Rockwell Automation Inc ,64.7,56.5,54.6,61.3,60.8,64.2,9203,
2017,176, Rogers Communications?€? ,48.5,61,45.4,61.5,48.1,55.1,9215,
2018,505,Rollins,42.3,42.9,44.8,37.5,67.2,45.1,9225,
2020,706,Rollins Inc,43.6,49.6,41.1,35.5,56.1,41.7,9225,
2021,752,Rollins Inc,42.8,44.3,44.1,35,55.2,39.7,9225,
2017,393,Ross Stores,47.1,38.9,45,44.9,67.7,47.5,9248,
2018,309,Ross Stores,48.8,40.1,46.8,47.2,70.8,51,9248,
2019,316,Ross Stores Inc,50.8,42.9,46.5,47.7,62.7,50.1,9248,
2020,640,Ross Stores Inc,44.4,44.7,45.2,44.9,50.3,43.6,9248,
2021,535,Ross Stores Inc,50,42,48.8,44.8,52,45.7,9248,
2017,242,Ryder System,62.2,49.3,45.3,55.6,46.7,52.5,9299,
2018,484,Ryder System,55.1,40.1,46.5,51.7,41.7,45.5,9299,
2020,299,Ryder System Inc,66.1,44.6,46.2,59.2,41.7,52.3,9299,
2021,207,Ryder System Inc,71.6,46.8,48.3,57,44.8,56.3,9299,
2017,692, Valeant Pharmaceuticals International ,40.5,21.2,45.4,29.2,34.8,24.9,9340,
2017,531,SCANA,37.5,55.4,43.7,41.7,46.8,42.2,9445,
2018,627,SCANA,43.7,51.3,44.5,42.2,39.9,41.2,9445,
2017,184,Schlumberger,46.8,47.6,75.9,55.3,40.7,54.8,9465,
2018,250,Schlumberger,40.3,46.6,71.2,58.7,39.5,53.2,9465,
2019,293,Schlumberger NV,41.6,47.5,57.6,61.1,42.7,51.1,9465,
2020,315,Schlumberger Ltd,48.5,48.9,62.3,59.6,31,51.8,9465,
2021,297,Schlumberger Ltd,46.4,50,60.1,58.6,36.5,52.7,9465,
2017,493,Seaboard,58.5,45.6,48.5,33.9,46.8,43.8,9538,
2020,657,Seaboard Corp,63.1,49.8,46.5,28.9,43.3,43.1,9538,
2021,612,Seaboard Corp,55.7,49.1,48.8,30.2,51.6,43.9,9538,
2017,145,Seagate Technology,59.9,41.7,51.6,65.5,53.9,56.9,9545,
2018,124,Seagate Technology,56.4,39.7,48.5,66,67.2,59,9545,
2019,131,Seagate Technology PLC,57.9,45.3,49.6,64.6,61.1,58.5,9545,
2020,182,Seagate Technology,58,46,51,63.6,54.5,57.2,9545,
2021,219,Seagate Technology,53.4,51.1,49.2,57.3,59.2,55.7,9545,
2017,352,Sealed Air,51.2,44.2,49.2,47.8,55.2,48.8,9555,
2018,428,Sealed Air,53.9,41,49.9,49.2,46.6,47.1,9555,
2020,423,Sealed Air Corp,57.9,42.6,50.1,46.7,51.2,49.2,9555,
2021,451,Sealed Air Corp,50.7,41.6,47.7,49.7,55.6,48.1,9555,
2018,677,Service Corporation International,44.1,38.8,45.2,38.3,47.8,38.9,9611,
2019,454,Service Corporation International,45.3,49.3,45,42.1,52.4,45.2,9611,
2017,115,Sherwin-Williams,49.5,57.2,58.8,54.6,59.4,58.8,9667,
2018,138,Sherwin-Williams,52,54.7,64,52.6,52.9,58.2,9667,
2019,150,Sherwin-Williams Co,58.9,54.1,58.2,55.4,49.2,57.2,9667,
2020,149,Sherwin-Williams Co,58,51.2,59.2,55.3,55.3,58.8,9667,
2021,198,Sherwin-Williams Co,58.2,49.4,51.9,57.6,55.3,56.8,9667,
2017,201,J.M. Smucker,62.7,59.2,43.3,53.2,46.1,54.1,9777,
2018,206,J.M. Smucker,65.7,57.9,45,55.3,44.5,54.9,9777,
2019,265,J M Smucker Co,60.7,52.7,47.4,57.1,43,52.3,9777,
2020,203,J.M. Smucker Co,63.5,48.7,49.2,60.6,49,56.2,9777,
2021,223,J.M. Smucker Co,61.7,49.5,46.5,61.3,46.7,55.6,9777,
2017,365,Snap-on,49.4,52.2,46.9,43.5,54.6,48.4,9778,
2018,494,Snap-On,50.2,44,48.1,40.8,52.5,45.3,9778,
2019,297,Snap-On Inc,74.5,47.3,45.8,44,49.9,51,9778,
2020,502,Snap On Inc,58.1,48.2,45.9,41.2,50.1,47.1,9778,
2021,589,Snap On Inc,51.5,46.2,45.6,40.5,51.1,44.5,9778,
2017,328,Key,50.3,51,43,58.5,46.1,49.8,9783,
2018,349,KeyCorp,46.8,53.7,44.4,58.6,43.9,49.5,9783,
2019,309,KeyCorp,48.9,51.2,44.7,58.1,48.5,50.4,9783,
2020,437,KeyCorp,47.8,50.4,43.6,55.8,48.3,48.8,9783,
2021,458,KeyCorp,44.1,51.7,43.5,55.7,46.2,47.9,9783,
2018,259,Sonoco Products,53.7,55.2,47.1,57.1,46.2,52.9,9815,
2020,246,Sonoco Products Co,56.6,58.2,46.8,53.4,49.8,54,9815,
2021,315,Sonoco Products Co,56.7,58.4,46.3,51.1,43.9,52.2,9815,
2017,433,Edison International,45.2,43.8,52.9,48.2,48.9,46.3,9846,
2018,428,Edison International,42.9,47.4,51.7,52.5,44.2,47.1,9846,
2019,462,Edison International,38.8,47.6,48.1,53.6,43.3,45.1,9846,
2020,379,Edison Intl,43.9,51.3,48.2,57.2,48.5,50.1,9846,
2021,620,Edison Intl,40.7,36.1,46.5,57,45.7,43.7,9846,
2017,155,Southern,56.1,64.1,55.6,50.7,45.6,56.4,9850,
2018,196,Southern,51.8,59.2,57.9,52.2,46.6,55.4,9850,
2019,256,Southern Co,46.8,58.7,49.7,54.9,48.3,52.8,9850,
2020,156,Southern Co,46.7,57.9,61,57.1,53.4,58.4,9850,
2021,240,Southern Co,47,63.5,49.8,54.9,49.7,54.7,9850,
2017,24,Southwest Airlines,64,68.5,61,59.5,63.6,70.1,9882,
2018,80,Southwest Airlines,54.5,70.6,50.3,57.8,58.6,62.4,9882,
2019,81,Southwest Airlines Co,54.5,70.6,55.8,57.5,53.6,62.5,9882,
2020,260, Southwest Airlines Co ,51.2,67.4,48.2,53,42.9,53.6,9882,
2021,228,Southwest Airlines Co,57.5,63.1,58.5,51.4,30.7,55.3,9882,
2020,779," Southwest Gas Holdings, Inc ",40.6,46.5,43.3,36.8,47.7,39,9890,
2021,780," Southwest Gas Holdings, Inc ",41.3,47.6,43.4,36.1,44.2,38,9890,
2017,686, Southwestern Energy ,32.1,46.7,42.6,40.5,21.5,29.6,9904,
2018,627,Southwestern Energy,34.8,48.1,43.1,48.2,45.5,41.2,9904,
2020,844, Southwestern Energy Co ,37.5,39.2,45.1,51.5,17.3,33.8,9904,
2017,288, Stanley Black &amp; Decker ,52,44.2,47.8,57.7,51,50.8,10016,
2018,309,Stanley Black &amp; Decker,55.4,45.5,50.5,54,47.9,51,10016,
2019,314,Stanley Black &amp; Decker Inc,50.8,46.6,54.2,52.9,46.4,50.2,10016,
2020,277, Stanley Black &amp; Decker ,62.4,44.2,52.6,53.9,47.5,53.1,10016,
2021,129,Stanley Black &amp; Decker,64.6,48.2,56.2,60.6,49.6,59.8,10016,
2017,253,State Street,50.9,39.5,49.4,68,47,51.9,10035,
2018,266,State Street,48.5,42,48.5,71.3,45.2,52.8,10035,
2019,237,State Street Corp,49,40.9,50.3,71.4,47.7,53.4,10035,
2020,334,State Street Corp,42,39.4,49.7,69.1,49.8,51.3,10035,
2021,398,State Street Corp,42.3,40.2,48.6,67.2,44.7,49.7,10035,
2017,642,Public Storage,41.6,34.3,44,35.6,54.4,37,10096,
2018,696,Public Storage,34.6,39.4,43,38.3,53.6,37.7,10096,
2019,548,Public Storage,33.7,41.4,45.4,44.5,53.8,41.6,10096,
2020,598,Public Storage,44.6,49.2,44.5,42.3,54,44.8,10096,
2021,695,Public Storage,40.3,36.9,43.2,50.2,52.1,41.6,10096,
2017,259,Stryker,41.2,69.3,50.1,43.6,52.4,51.8,10115,
2018,228,Stryker,42.3,62.6,55.7,48.9,53.6,54.2,10115,
2019,156,Stryker Corp,44.1,60.1,62.3,48.5,56.1,57,10115,
2020,169,Stryker Corp,41.8,63.7,67.8,47.8,53.3,57.8,10115,
2021,373,Stryker Corp,37.9,61.6,57,45.6,49.4,50.4,10115,
2017,660,Navient,40.1,37.9,43,38.2,43.9,35.1,10121,
2019,575,Navient Corp,53.6,44.7,42.7,46.3,34.8,40.6,10121,
2020,813,Navient Corp,30.1,50.9,41.3,42.1,42.3,37.2,10121,
2017,515,SunTrust Banks,52.8,44.8,43.8,40.4,47,42.8,10187,
2018,535,SunTrust Banks,48.7,49.6,44.5,44.1,45.3,44.3,10187,
2019,319,SunTrust Banks Inc,52.5,53,44.3,52.1,49.6,50,10187,
2017,524,Supervalu,52.9,35.5,45.8,45.2,48,42.5,10190,
2018,447,Supervalu,55.6,41.7,49.6,52,39.6,46.6,10190,
2017,179,Sysco,62.4,49.8,51,50.9,54,55,10247,
2018,186,Sysco,61.3,48.2,47.2,56,57.8,55.9,10247,
2019,199,Sysco Corp,59.6,47.1,48.5,59.5,53.7,55,10247,
2020,211,Sysco Corp,61.6,49,48.7,62.7,47.7,55.9,10247,
2021,207,Sysco Corp,62.3,50.5,49.4,59.6,46.1,56.3,10247,
2017,74,Teck Resources?€?,58.3,62,46.7,73.9,45.3,62,10385,
2018,505,Teleflex,45.9,50.9,46.5,44,47.3,45.1,10407,
2019,450,Teleflex Inc,45.2,50.1,46.8,45.5,47.4,45.4,10407,
2020,626,Teleflex Inc,42.8,44.3,46.5,45.8,51.1,44.1,10407,
2021,591,Teleflex Inc,42.9,51.3,46.5,45.1,45.8,44.4,10407,
2017,505, Telephone and Data Systems ,52.8,55.3,42,39.4,40.3,43.2,10411,
2018,601,Telephone and Data Systems,51.8,53.5,42.9,39.7,38.3,42.1,10411,
2019,533,Telephone and Data Systems Inc,52.8,47.2,44.3,39.9,43.5,42.3,10411,
2020,711, Telephone &amp; Data Systems Inc ,46.8,43.7,43.6,40.8,48.1,41.5,10411,
2021,761, Telephone &amp; Data Systems Inc ,44.4,45.9,44.5,37.4,43.3,39.2,10411,
2017,232,Tenneco,69.7,39.1,52.1,46.8,55.2,53,10443,
2018,337,Tenneco,65,43.7,49.5,41.1,53.2,49.9,10443,
2020,150,Teradyne Inc,56.5,65,48,48.4,65.7,58.7,10453,
2021,185,Teradyne Inc,59.8,61.7,41.7,50,68.6,57.3,10453,
2018,440,Andeavor,35.5,56.1,45.1,52.4,48.7,46.8,10466,
2017,40,Texas Instruments,55,64.3,44.7,67.9,70,66.2,10499,
2018,33,Texas Instruments,54,67.8,47.8,72.3,73,70,10499,
2019,29,Texas Instruments Inc,48.6,66.9,46.6,73.1,74.2,69,10499,
2020,52, Texas Instruments Inc ,48.3,65.3,55.7,71.6,66.2,67.4,10499,
2021,63,Texas Instruments Inc,49.2,65.2,48,69.2,75.2,66,10499,
2017,253,Textron,58.2,55.4,49.5,46.1,49,51.9,10519,
2018,230,Textron,62.4,50.3,55,50.3,46.5,54,10519,
2019,297,Textron Inc,56.2,47.1,54.7,49.8,47.5,51,10519,
2020,334,Textron Inc,55.7,43,56.5,51.7,46.4,51.3,10519,
2021,335,Textron Inc,54.9,46,54,52.1,44.9,51.4,10519,
2017,218, Thermo Fisher Scientific ,57,49.9,49.4,54.7,51.7,53.6,10530,
2018,299,Thermo Fisher Scientific,42.9,51.2,52.2,56.3,50.2,51.4,10530,
2019,262,Thermo Fisher Scientific Inc,37.9,50.7,49.7,55.4,60.5,52.5,10530,
2020,170, Thermo Fisher Scientific ,45.9,51.5,58.1,56.6,62.9,57.7,10530,
2021,139,Thermo Fisher Scientific,49.3,54.8,56.5,58.4,63.8,59.5,10530,
2019,561,Thor Industries Inc,54.7,48.1,45.9,37.3,39.2,41.3,10549,
2020,726,Thor Industries Inc,49.9,41.9,45.4,38.6,45.1,40.8,10549,
2021,824,Thor Industries Inc,46.2,19.8,45.2,39,49.2,34.2,10549,
2018,395,Timken,56.9,41.6,47.6,50.8,47.3,48.1,10581,
2019,527,Timken Co,41.4,41.5,47.7,47.2,46.5,42.6,10581,
2020,496,Timken Co,50.5,45.9,47.6,47.9,49.7,47.3,10581,
2021,433,Timken Co,49.2,48.1,46.9,52.5,48,48.6,10581,
2020,806,Globe Life Inc.,36.7,34.3,42.3,45.3,49.7,37.7,10614,
2021,802,Globe Life Inc,35.7,32.2,44,46.4,46.1,36.4,10614,
2020,385,Toro Co,54.4,52.7,48.8,44.2,52,50,10618,
2021,398,Toro Co,53.9,54.8,47.1,42.9,53.8,49.7,10618,
2017,488, Total System Services ,48,45.5,43,45.3,49.9,44,10631,
2018,459,Total System Services,44.9,49.5,42.8,49,51.8,46.3,10631,
2019,427,Total System Services Inc,45.9,44.3,43,52.5,51.9,46.4,10631,
2017,515,Trinity Industries,47.5,47,46.2,41.3,46.4,42.8,10735,
2018,484,Trinity Industries,58.2,32.9,46.2,39.8,60.2,45.5,10735,
2018,613,Trinity Industries,50.9,46.6,44.9,40.4,41.3,41.7,10735,
2020,683,Trinity Industries Inc,50.2,46.5,45,39.1,45.2,42.3,10735,
2020,549, Tyler Technologies Inc ,58,48.3,42.3,39.9,52.1,45.9,10789,
2021,570,Tyler Technologies Inc,52.5,51.2,44.5,40.9,46.2,45,10789,
2017,232,Tyson Foods,57.3,52.7,44.5,50.1,56.5,53,10793,
2018,277,Tyson Foods,62.8,50.4,46.3,46.5,54.4,52.3,10793,
2019,264,Tyson Foods Inc,58.2,51.8,46.9,53.3,50.3,52.4,10793,
2020,302,Tyson Foods Inc A,57.2,49.3,48.3,51.8,52,52.2,10793,
2021,326,Tyson Foods Inc A,55.4,49.5,47.6,51.5,53.1,51.8,10793,
2019,269,United Airlines Holdings Inc,40.3,59.9,47.6,54.4,51.9,52,10795,
2020,581," United Airlines Holding, Inc ",37.8,44.7,51.9,53.1,43,45.2,10795,
2021,705," United Airlines Holding, Inc ",44.7,42.4,50.9,49.9,26,41.4,10795,
2017,659,UGI,37.1,34.4,43.8,38.8,49.6,35.3,10801,
2018,653,UGI,40.3,50.4,42,38.8,47.2,40.2,10801,
2019,548,UGI Corp,44.6,50.6,43.9,38.2,45.8,41.6,10801,
2020,560,UGI Corp,44.5,59.8,41.3,43.5,49,45.7,10801,
2021,404,UGI Corp,45.4,65.5,51,40.1,48.6,49.5,10801,
2018,459,USG,44.7,51.3,47.3,48.6,45.6,46.3,10816,
2019,384,Ameren Corp,38.3,55.7,44.1,55.6,46,47.7,10860,
2020,353,Ameren Corp,44.9,59.8,45.7,53.3,49.3,50.8,10860,
2021,355,Ameren Corp,43.3,63.1,44.2,55.6,45.5,50.9,10860,
2017,298,Union Pacific,44.3,42.3,48.8,59.1,56.5,50.5,10867,
2018,414,Union Pacific,40.8,34.8,47.5,57.3,58.7,47.6,10867,
2019,380,Union Pacific Corp,43.3,25.1,48.3,62.2,60.3,47.8,10867,
2020,581,Union Pacific Corp,45.3,17.3,46.8,62,59.6,45.2,10867,
2021,657,Union Pacific Corp,48.6,11.5,47.5,60,56.6,42.7,10867,
2017,454,UDR?€?,47.3,54.8,43.8,45.3,44.8,45.6,10894,
2020,452,UDR Inc,45.3,62.9,39.8,49.3,49.4,48.4,10894,
2021,769,UDR Inc,43.3,47.8,38.8,48.2,31,38.8,10894,
2017,270, UnitedHealth Group ,36.9,46.6,49,58.3,62.9,51.4,10903,
2018,189,UnitedHealth Group,39,51,56,55.7,65,55.8,10903,
2019,98,UnitedHealth Group Inc,40.7,50.1,56.3,61.4,72.7,61,10903,
2020,162, Unitedhealth Group Inc ,43.9,48,49.9,59.2,77.1,58.1,10903,
2021,178,Unitedhealth Group Inc,39,47.1,56.2,62.9,71.8,57.6,10903,
2017,35,United Parcel Service,55,57.2,59.3,62.6,72.9,67.4,10920,
2018,20,United Parcel Service,54.3,47.3,84.7,62.8,75.5,73.7,10920,
2019,22,United Parcel Service Inc,56.6,47.2,82.1,68.4,63,71.2,10920,
2020,110, United Parcel Service Inc B ,49.1,51.1,59.9,64.4,61.3,61.3,10920,
2021,96, United Parcel Service Inc B ,51.7,47.9,61.5,63.3,65,62,10920,
2017,653,Essendant?€?,57.9,30.1,46.8,39.4,33.3,35.9,10981,
2018,724,Essendant,45,40.9,47.2,37.9,33.1,35.9,10981,
2020,53, Raytheon Technologies Corp ,64.6,57,67.3,64.7,50.3,66.8,10983,
2021,55, Raytheon Technologies Corp ,62.6,54.5,83.3,56.2,40.5,66.7,10983,
2017,322,Sprint Nextel,45.4,48.6,50.8,60.3,44.1,50,10984,
2018,368,Sprint Nextel,40.5,46.5,49.4,61.7,45.1,48.9,10984,
2019,462,Sprint Corp,36.5,42.4,47.8,57.9,45.6,45.1,10984,
2018,688,Scientific Games,41.4,36,59.5,34.3,39.6,38.3,10991,
2019,494,Scientific Games Corp,37.2,44,68.2,33.1,45.1,44,10991,
2019,588,Universal Health Services Inc,53,37.3,45.7,35.9,46.2,39.4,11032,
2020,813, Universal Health Services B ,37.2,35.9,45.5,39.1,49.4,37.2,11032,
2021,829, Universal Health Services B ,30.3,35,43.8,38.3,49.2,33.2,11032,
2017,145,VF,59.8,52.8,49,55.5,56.2,56.9,11060,
2018,158,VF,61.1,53.9,49.4,55.1,54.7,57,11060,
2019,125,VF Corp,59,55.4,51.2,59.1,56.7,59,11060,
2020,137,VF Corp,62.9,54.6,52.2,63,48.1,59.3,11060,
2021,118,VF Corp,64,56.4,49.2,64.3,47.1,60.4,11060,
2017,163, Varian Medical Systems ,52.9,55.1,46.1,62.7,51.4,55.8,11115,
2018,126,Varian Medical Systems,53.9,57.8,46.5,64.2,56.4,58.9,11115,
2019,211,Varian Medical Systems Inc,45.1,58.3,48.7,56.8,53.3,54.2,11115,
2020,131, Varian Medical Systems Inc ,59,60.5,53.2,59,51.2,59.7,11115,
2020,536, Vishay Intertechnology Inc ,60.5,37.9,48.2,46.4,44.8,46.1,11191,
